Produto,Descrição,"Pontos Qualificaveis","Pontos Bonificaveis","Preço Venda Sugerido","Preço Consultor","Margem Lucro na Revenda",QTD EM CASA - FECHADOS,"Valor Em Estoque","Valor Investido",QTD EM CASA - ABERTOS
TOTALL,,,,,,,133,"R$ 9.181,36","R$ 4.540,22",6
#,#,#,#,#,#,#,#,#,#,#
25147,Perfect Nails Baby Doll,3.70,3.70,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
25148,Perfect Nails Confeti,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25149,PERFECT NAILS BLOODY MARY,2.64,2.64,"R$ 13,90","R$ 4,99",178.56 %,,0,0,
25150,Perfect Nails Syrah,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25151,Perfect Nails Party,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25152,Perfect Nails Radiant Orchid,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25153,Perfect Nails Magnetic,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25154,Perfect Nails Black Piano,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25155,Perfect Nails Taupe,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25156,Perfect Nails Cotton,3.70,3.70,"R$ 13,90","R$ 6,95",100.00 %,,0,0,
25157,LENÇO DEMAQUILANTE MAKEUP FREE DAZZLE,5.00,5.00,"R$ 21,00","R$ 10,50",100.00 %,,0,0,
25158,METALIK - MINI LÁPIS JUMBO CHAMPAGNE,8.00,8.00,"R$ 30,00","R$ 15,00",100.00 %,,0,0,
25159,METALIK - MINI LÁPIS JUMBO GREEN LIGHT,8.00,8.00,"R$ 30,00","R$ 15,00",100.00 %,,0,0,
25160,METALIK - MINI LÁPIS JUMBO NAVY,8.00,8.00,"R$ 30,00","R$ 15,00",100.00 %,,0,0,
25161,METALIK - MINI LÁPIS JUMBO SPARKLE,8.00,8.00,"R$ 30,00","R$ 15,00",100.00 %,,0,0,
25162,METALIK - MINI LÁPIS JUMBO CHIC,8.00,8.00,"R$ 30,00","R$ 15,00",100.00 %,,0,0,
25163,METALIK - MINI LÁPIS JUMBO MOONLIGHT,8.00,8.00,"R$ 30,00","R$ 15,00",100.00 %,,0,0,
25164,Metalik - Batom Líquido Metalizado - Cor Candy App,5.29,5.29,"R$ 41,20","R$ 9,90",316.16 %,,0,0,
25165,METALIK - BATOM LÍQUIDO METALIZADO - COR VAMP,5.29,5.29,"R$ 41,20","R$ 9,90",316.16 %,,0,0,
25166,METALIK - BATOM LÍQUIDO METALIZADO - COR EUFORIA,5.29,5.29,"R$ 41,20","R$ 9,90",316.16 %,,0,0,
25167,METALIK - BATOM LÍQUIDO METALIZADO - COR GLAM,5.29,5.29,"R$ 41,20","R$ 9,90",316.16 %,,0,0,
25168,METALIK - BATOM LÍQUIDO METALIZADO - COR BROWN SUGAR,5.29,5.29,"R$ 41,20","R$ 9,90",316.16 %,,0,0,
25169,Metalik - Batom Líquido Metalizado - Cor Charm,5.29,5.29,"R$ 41,20","R$ 9,90",316.16 %,,0,0,
25170,Quarteto de Sombras - Cor Diva,11.28,11.28,"R$ 60,00","R$ 19,90",201.51 %,,0,0,
25171,Quarteto de Sombras - Cor Eleganza,11.28,11.28,"R$ 60,00","R$ 19,90",201.51 %,,0,0,
